"Datetime";"Power"
"20230222:22";"794"
"20230222:23";"820"
"20230223:00";"608"
"20230223:01";"603"
"20230223:02";"220"
"20230223:03";"699"
"20230223:04";"649"
"20230223:05";"8"
"20230223:06";"548"
"20230223:07";"256"
"20230223:08";"325"
"20230223:09";"949"
"20230223:10";"836"
"20230223:11";"629"
"20230223:12";"674"
"20230223:13";"882"
"20230223:14";"918"
"20230223:15";"397"
"20230223:16";"532"
"20230223:17";"541"
"20230223:18";"612"
"20230223:19";"552"
"20230223:20";"127"
"20230223:21";"355"
"20230223:22";"214"
"20230223:23";"514"
"20230224:00";"150"
"20230224:01";"447"
"20230224:02";"342"
"20230224:03";"701"
"20230224:04";"871"
"20230224:05";"206"
"20230224:06";"583"
"20230224:07";"916"
"20230224:08";"70"
"20230224:09";"904"
"20230224:10";"735"
"20230224:11";"237"
"20230224:12";"966"
"20230224:13";"163"
"20230224:14";"546"
"20230224:15";"140"
"20230224:16";"376"
"20230224:17";"230"
"20230224:18";"679"
"20230224:19";"360"
"20230224:20";"565"
"20230224:21";"653"
"20230224:22";"998"
"20230224:23";"592"
"20230225:00";"817"
"20230225:01";"531"
"20230225:02";"441"
"20230225:03";"483"
"20230225:04";"914"
"20230225:05";"780"
"20230225:06";"957"
"20230225:07";"105"
"20230225:08";"813"
"20230225:09";"881"
"20230225:10";"487"
"20230225:11";"307"
"20230225:12";"736"
"20230225:13";"43"
"20230225:14";"774"
"20230225:15";"390"
"20230225:16";"379"
"20230225:17";"404"
"20230225:18";"145"
"20230225:19";"382"
"20230225:20";"942"
"20230225:21";"505"
"20230225:22";"255"
"20230225:23";"603"
"20230226:00";"707"
"20230226:01";"379"
"20230226:02";"318"
"20230226:03";"291"
"20230226:04";"58"
"20230226:05";"250"
"20230226:06";"502"
"20230226:07";"134"
"20230226:08";"482"
"20230226:09";"14"
"20230226:10";"389"
"20230226:11";"752"
"20230226:12";"748"
"20230226:13";"456"
"20230226:14";"375"
"20230226:15";"525"
"20230226:16";"482"
"20230226:17";"191"
"20230226:18";"247"
"20230226:19";"912"
"20230226:20";"884"
"20230226:21";"856"
"20230226:22";"917"
"20230226:23";"841"
"20230227:00";"316"
"20230227:01";"483"
"20230227:02";"791"
"20230227:03";"285"
"20230227:04";"670"
"20230227:05";"314"
"20230227:06";"227"
"20230227:07";"283"
"20230227:08";"502"
"20230227:09";"168"
"20230227:10";"516"
"20230227:11";"398"
"20230227:12";"110"
"20230227:13";"926"
"20230227:14";"240"
"20230227:15";"69"
"20230227:16";"350"
"20230227:17";"727"
"20230227:18";"694"
"20230227:19";"133"
"20230227:20";"370"
"20230227:21";"67"
"20230227:22";"59"
"20230227:23";"108"
"20230228:00";"534"
"20230228:01";"474"
"20230228:02";"58"
"20230228:03";"343"
"20230228:04";"922"
"20230228:05";"906"
"20230228:06";"866"
"20230228:07";"658"
"20230228:08";"446"
"20230228:09";"506"
"20230228:10";"639"
"20230228:11";"594"
"20230228:12";"161"
"20230228:13";"12"
"20230228:14";"766"
"20230228:15";"517"
"20230228:16";"250"
"20230228:17";"878"
"20230228:18";"793"
"20230228:19";"558"
"20230228:20";"454"
"20230228:21";"213"
"20230228:22";"756"
"20230228:23";"139"
"20230301:00";"198"
"20230301:01";"910"
"20230301:02";"888"
"20230301:03";"407"
"20230301:04";"144"
"20230301:05";"58"
"20230301:06";"133"
"20230301:07";"972"
"20230301:08";"819"
"20230301:09";"842"
"20230301:10";"851"
"20230301:11";"803"
"20230301:12";"952"
"20230301:13";"380"
"20230301:14";"80"
"20230301:15";"634"
"20230301:16";"11"
"20230301:17";"512"
"20230301:18";"384"
"20230301:19";"358"
"20230301:20";"704"
"20230301:21";"671"
"20230301:22";"178"
"20230301:23";"328"
"20230302:00";"600"
"20230302:01";"278"
"20230302:02";"547"
"20230302:03";"20"
"20230302:04";"982"
"20230302:05";"856"
"20230302:06";"867"
"20230302:07";"21"
"20230302:08";"754"
"20230302:09";"647"
"20230302:10";"168"
"20230302:11";"90"
"20230302:12";"230"
"20230302:13";"895"
"20230302:14";"104"
"20230302:15";"896"
"20230302:16";"82"
"20230302:17";"238"
"20230302:18";"296"
"20230302:19";"978"
"20230302:20";"741"
"20230302:21";"458"
"20230302:22";"607"
"20230302:23";"71"
"20230303:00";"501"
"20230303:01";"650"
"20230303:02";"36"
"20230303:03";"974"
"20230303:04";"448"
"20230303:05";"581"
"20230303:06";"204"
"20230303:07";"815"
"20230303:08";"804"
"20230303:09";"274"
"20230303:10";"622"
"20230303:11";"627"
"20230303:12";"11"
"20230303:13";"952"
"20230303:14";"549"
"20230303:15";"239"
"20230303:16";"554"
"20230303:17";"224"
"20230303:18";"181"
"20230303:19";"941"
"20230303:20";"433"
"20230303:21";"713"
"20230303:22";"233"
"20230303:23";"86"
"20230304:00";"790"
"20230304:01";"877"
"20230304:02";"361"
"20230304:03";"87"
"20230304:04";"818"
"20230304:05";"25"
"20230304:06";"179"
"20230304:07";"450"
"20230304:08";"427"
"20230304:09";"590"
"20230304:10";"598"
"20230304:11";"994"
"20230304:12";"44"
"20230304:13";"783"
"20230304:14";"109"
"20230304:15";"248"
"20230304:16";"829"
"20230304:17";"239"
"20230304:18";"75"
"20230304:19";"255"
"20230304:20";"636"
"20230304:21";"515"
"20230304:22";"542"
"20230304:23";"329"
"20230305:00";"290"
"20230305:01";"503"
"20230305:02";"486"
"20230305:03";"271"
"20230305:04";"161"
"20230305:05";"683"
"20230305:06";"576"
"20230305:07";"419"
"20230305:08";"456"
"20230305:09";"846"
"20230305:10";"535"
"20230305:11";"950"
"20230305:12";"964"
"20230305:13";"435"
"20230305:14";"667"
"20230305:15";"318"
"20230305:16";"175"
"20230305:17";"216"
"20230305:18";"46"
"20230305:19";"299"
"20230305:20";"67"
"20230305:21";"265"
"20230305:22";"113"
"20230305:23";"778"
"20230306:00";"403"
"20230306:01";"374"
"20230306:02";"298"
"20230306:03";"20"
"20230306:04";"253"
"20230306:05";"303"
"20230306:06";"627"
"20230306:07";"652"
"20230306:08";"348"
"20230306:09";"513"
"20230306:10";"121"
"20230306:11";"683"
"20230306:12";"462"
"20230306:13";"441"
"20230306:14";"430"
"20230306:15";"581"
"20230306:16";"954"
"20230306:17";"799"
"20230306:18";"314"
"20230306:19";"9"
"20230306:20";"640"
"20230306:21";"15"
"20230306:22";"996"
"20230306:23";"483"
"20230307:00";"172"
"20230307:01";"969"
"20230307:02";"850"
"20230307:03";"366"
"20230307:04";"203"
"20230307:05";"327"
"20230307:06";"539"
"20230307:07";"215"
"20230307:08";"502"
"20230307:09";"690"
"20230307:10";"116"
"20230307:11";"112"
"20230307:12";"920"
"20230307:13";"180"
"20230307:14";"46"
"20230307:15";"52"
"20230307:16";"897"
"20230307:17";"660"
"20230307:18";"621"
"20230307:19";"228"
"20230307:20";"484"
"20230307:21";"818"
"20230307:22";"321"
"20230307:23";"322"
"20230308:00";"852"
"20230308:01";"334"
"20230308:02";"995"
"20230308:03";"374"
"20230308:04";"560"
"20230308:05";"714"
"20230308:06";"182"
"20230308:07";"982"
"20230308:08";"913"
"20230308:09";"935"
"20230308:10";"269"
"20230308:11";"180"
"20230308:12";"613"
"20230308:13";"458"
"20230308:14";"462"
"20230308:15";"213"
"20230308:16";"480"
"20230308:17";"97"
"20230308:18";"849"
"20230308:19";"123"
"20230308:20";"654"
"20230308:21";"391"
"20230308:22";"571"
"20230308:23";"823"
"20230309:00";"773"
"20230309:01";"969"
"20230309:02";"275"
"20230309:03";"843"
"20230309:04";"436"
"20230309:05";"427"
"20230309:06";"323"
"20230309:07";"521"
"20230309:08";"31"
"20230309:09";"215"
"20230309:10";"613"
"20230309:11";"916"
"20230309:12";"32"
"20230309:13";"243"
"20230309:14";"180"
"20230309:15";"603"
"20230309:16";"620"
"20230309:17";"596"
"20230309:18";"60"
"20230309:19";"668"
"20230309:20";"404"
"20230309:21";"401"
"20230309:22";"247"
"20230309:23";"51"
"20230310:00";"880"
"20230310:01";"639"
"20230310:02";"362"
"20230310:03";"396"
"20230310:04";"324"
"20230310:05";"35"
"20230310:06";"159"
"20230310:07";"900"
"20230310:08";"214"
"20230310:09";"15"
"20230310:10";"985"
"20230310:11";"811"
"20230310:12";"765"
"20230310:13";"712"
"20230310:14";"171"
"20230310:15";"684"
"20230310:16";"805"
"20230310:17";"464"
"20230310:18";"843"
"20230310:19";"89"
"20230310:20";"958"
"20230310:21";"988"
"20230310:22";"295"
"20230310:23";"661"
"20230311:00";"973"
"20230311:01";"669"
"20230311:02";"302"
"20230311:03";"185"
"20230311:04";"50"
"20230311:05";"640"
"20230311:06";"635"
"20230311:07";"294"
"20230311:08";"492"
"20230311:09";"327"
"20230311:10";"842"
"20230311:11";"453"
"20230311:12";"637"
"20230311:13";"938"
"20230311:14";"717"
"20230311:15";"3"
"20230311:16";"469"
"20230311:17";"122"
"20230311:18";"180"
"20230311:19";"497"
"20230311:20";"291"
"20230311:21";"356"
"20230311:22";"372"
"20230311:23";"692"
"20230312:00";"859"
"20230312:01";"241"
"20230312:02";"107"
"20230312:03";"643"
"20230312:04";"825"
"20230312:05";"133"
"20230312:06";"397"
"20230312:07";"863"
"20230312:08";"606"
"20230312:09";"794"
"20230312:10";"628"
"20230312:11";"323"
"20230312:12";"576"
"20230312:13";"856"
"20230312:14";"948"
"20230312:15";"355"
"20230312:16";"432"
"20230312:17";"93"
"20230312:18";"296"
"20230312:19";"465"
"20230312:20";"721"
"20230312:21";"489"
"20230312:22";"754"
"20230312:23";"928"
"20230313:00";"21"
"20230313:01";"951"
"20230313:02";"347"
"20230313:03";"50"
"20230313:04";"321"
"20230313:05";"52"
"20230313:06";"841"
"20230313:07";"588"
"20230313:08";"94"
"20230313:09";"721"
"20230313:10";"806"
"20230313:11";"587"
"20230313:12";"529"
"20230313:13";"240"
"20230313:14";"695"
"20230313:15";"54"
"20230313:16";"383"
"20230313:17";"256"
"20230313:18";"109"
"20230313:19";"498"
"20230313:20";"977"
"20230313:21";"494"
"20230313:22";"41"
"20230313:23";"865"
"20230314:00";"351"
"20230314:01";"171"
"20230314:02";"483"
"20230314:03";"845"
"20230314:04";"739"
"20230314:05";"894"
"20230314:06";"389"
"20230314:07";"676"
"20230314:08";"73"
"20230314:09";"682"
"20230314:10";"609"
"20230314:11";"11"
"20230314:12";"302"
"20230314:13";"905"
"20230314:14";"645"
"20230314:15";"585"
"20230314:16";"184"
"20230314:17";"498"
"20230314:18";"958"
"20230314:19";"238"
"20230314:20";"884"
"20230314:21";"199"
"20230314:22";"185"
"20230314:23";"302"
"20230315:00";"117"
"20230315:01";"11"
"20230315:02";"522"
"20230315:03";"637"
"20230315:04";"807"
"20230315:05";"37"
"20230315:06";"936"
"20230315:07";"552"
"20230315:08";"439"
"20230315:09";"26"
"20230315:10";"596"
"20230315:11";"480"
"20230315:12";"895"
"20230315:13";"358"
"20230315:14";"751"
"20230315:15";"143"
"20230315:16";"752"
"20230315:17";"750"
"20230315:18";"627"
"20230315:19";"151"
"20230315:20";"701"
"20230315:21";"127"
"20230315:22";"149"
"20230315:23";"402"
"20230316:00";"984"
"20230316:01";"503"
"20230316:02";"775"
"20230316:03";"226"
"20230316:04";"804"
"20230316:05";"173"
"20230316:06";"379"
"20230316:07";"32"
"20230316:08";"241"
"20230316:09";"643"
"20230316:10";"349"
"20230316:11";"469"
"20230316:12";"115"
"20230316:13";"410"
"20230316:14";"254"
"20230316:15";"469"
"20230316:16";"72"
"20230316:17";"916"
"20230316:18";"799"
"20230316:19";"576"
"20230316:20";"889"
"20230316:21";"411"
"20230316:22";"12"
"20230316:23";"424"
"20230317:00";"710"
"20230317:01";"372"
"20230317:02";"797"
"20230317:03";"841"
"20230317:04";"588"
"20230317:05";"595"
"20230317:06";"798"
"20230317:07";"108"
"20230317:08";"662"
"20230317:09";"130"
"20230317:10";"222"
"20230317:11";"396"
"20230317:12";"237"
"20230317:13";"551"
"20230317:14";"41"
"20230317:15";"999"
"20230317:16";"718"
"20230317:17";"495"
"20230317:18";"222"
"20230317:19";"719"
"20230317:20";"68"
"20230317:21";"364"
"20230317:22";"499"
"20230317:23";"78"
"20230318:00";"476"
"20230318:01";"678"
"20230318:02";"98"
"20230318:03";"208"
"20230318:04";"93"
"20230318:05";"657"
"20230318:06";"768"
"20230318:07";"215"
"20230318:08";"210"
"20230318:09";"706"
"20230318:10";"528"
"20230318:11";"361"
"20230318:12";"526"
"20230318:13";"518"
"20230318:14";"833"
"20230318:15";"765"
"20230318:16";"719"
"20230318:17";"820"
"20230318:18";"372"
"20230318:19";"482"
"20230318:20";"338"
"20230318:21";"341"
"20230318:22";"777"
"20230318:23";"382"
"20230319:00";"400"
"20230319:01";"961"
"20230319:02";"8"
"20230319:03";"202"
"20230319:04";"315"
"20230319:05";"585"
"20230319:06";"666"
"20230319:07";"866"
"20230319:08";"533"
"20230319:09";"65"
"20230319:10";"52"
"20230319:11";"546"
"20230319:12";"482"
"20230319:13";"724"
"20230319:14";"877"
"20230319:15";"77"
"20230319:16";"758"
"20230319:17";"728"
"20230319:18";"974"
"20230319:19";"715"
"20230319:20";"692"
"20230319:21";"323"
"20230319:22";"730"
"20230319:23";"223"
"20230320:00";"682"
"20230320:01";"309"
"20230320:02";"829"
"20230320:03";"506"
"20230320:04";"418"
"20230320:05";"911"
"20230320:06";"174"
"20230320:07";"724"
"20230320:08";"498"
"20230320:09";"843"
"20230320:10";"797"
"20230320:11";"877"
"20230320:12";"703"
"20230320:13";"162"
"20230320:14";"872"
"20230320:15";"479"
"20230320:16";"531"
"20230320:17";"454"
"20230320:18";"193"
"20230320:19";"330"
"20230320:20";"909"
"20230320:21";"540"
"20230320:22";"752"
"20230320:23";"947"
"20230321:00";"414"
"20230321:01";"498"
"20230321:02";"141"
"20230321:03";"469"
"20230321:04";"815"
"20230321:05";"731"
"20230321:06";"349"
"20230321:07";"242"
"20230321:08";"331"
"20230321:09";"805"
"20230321:10";"407"
"20230321:11";"918"
"20230321:12";"349"
"20230321:13";"738"
"20230321:14";"676"
"20230321:15";"383"
"20230321:16";"746"
"20230321:17";"87"
"20230321:18";"771"
"20230321:19";"138"
"20230321:20";"333"
"20230321:21";"726"
"20230321:22";"682"
"20230321:23";"824"
"20230322:00";"251"
"20230322:01";"116"
"20230322:02";"185"
"20230322:03";"931"
"20230322:04";"855"
"20230322:05";"324"
"20230322:06";"621"
"20230322:07";"890"
"20230322:08";"786"
"20230322:09";"143"
"20230322:10";"78"
"20230322:11";"473"
"20230322:12";"329"
"20230322:13";"975"
"20230322:14";"579"
"20230322:15";"197"
"20230322:16";"237"
"20230322:17";"143"
"20230322:18";"821"
"20230322:19";"919"
"20230322:20";"130"
"20230322:21";"244"
"20230322:22";"497"
"20230322:23";"963"
"20230323:00";"971"
"20230323:01";"193"
"20230323:02";"918"
"20230323:03";"443"
"20230323:04";"798"
"20230323:05";"332"
"20230323:06";"396"
"20230323:07";"849"
"20230323:08";"328"
"20230323:09";"304"
"20230323:10";"96"
"20230323:11";"963"
"20230323:12";"686"
"20230323:13";"571"
"20230323:14";"555"
"20230323:15";"263"
"20230323:16";"515"
"20230323:17";"339"
"20230323:18";"564"
"20230323:19";"474"
"20230323:20";"695"
"20230323:21";"462"
"20230323:22";"434"
"20230323:23";"403"
"20230324:00";"382"
"20230324:01";"572"
"20230324:02";"572"
"20230324:03";"707"
"20230324:04";"430"
"20230324:05";"815"
"20230324:06";"399"
"20230324:07";"410"
"20230324:08";"993"
"20230324:09";"405"
"20230324:10";"544"
"20230324:11";"494"
"20230324:12";"560"
"20230324:13";"916"
"20230324:14";"16"
"20230324:15";"197"
"20230324:16";"507"
"20230324:17";"779"
"20230324:18";"390"
"20230324:19";"768"
"20230324:20";"226"
"20230324:21";"868"
"20230324:22";"732"
"20230324:23";"724"
"20230325:00";"221"
"20230325:01";"107"
"20230325:02";"73"
"20230325:03";"401"
"20230325:04";"314"
"20230325:05";"581"
"20230325:06";"485"
"20230325:07";"218"
"20230325:08";"982"
"20230325:09";"17"
"20230325:10";"928"
"20230325:11";"647"
"20230325:12";"419"
"20230325:13";"422"
"20230325:14";"142"
"20230325:15";"203"
"20230325:16";"816"
"20230325:17";"339"
"20230325:18";"84"
"20230325:19";"111"
"20230325:20";"418"
"20230325:21";"183"
"20230325:22";"983"
"20230325:23";"214"
"20230326:00";"658"
"20230326:01";"951"
"20230326:02";"657"
"20230326:03";"758"
"20230326:04";"397"
"20230326:05";"642"
"20230326:06";"890"
"20230326:07";"167"
"20230326:08";"370"
"20230326:09";"385"
"20230326:10";"775"
"20230326:11";"434"
"20230326:12";"95"
"20230326:13";"215"
"20230326:14";"341"
"20230326:15";"155"
"20230326:16";"115"
"20230326:17";"206"
"20230326:18";"358"
"20230326:19";"56"
"20230326:20";"109"
"20230326:21";"30"
"20230326:22";"957"
"20230326:23";"799"
"20230327:00";"456"
"20230327:01";"797"
"20230327:02";"225"
"20230327:03";"730"
"20230327:04";"375"
"20230327:05";"696"
"20230327:06";"727"
"20230327:07";"484"
"20230327:08";"50"
"20230327:09";"653"
"20230327:10";"989"
"20230327:11";"582"
"20230327:12";"400"
"20230327:13";"607"
"20230327:14";"403"
"20230327:15";"79"
"20230327:16";"322"
"20230327:17";"774"
"20230327:18";"125"
"20230327:19";"508"
"20230327:20";"331"
"20230327:21";"538"
"20230327:22";"990"
"20230327:23";"955"
"20230328:00";"932"
"20230328:01";"294"
"20230328:02";"418"
"20230328:03";"86"
"20230328:04";"735"
"20230328:05";"938"
"20230328:06";"868"
"20230328:07";"765"
"20230328:08";"564"
"20230328:09";"981"
"20230328:10";"75"
"20230328:11";"401"
"20230328:12";"51"
"20230328:13";"449"
"20230328:14";"148"
"20230328:15";"939"
"20230328:16";"739"
"20230328:17";"212"
"20230328:18";"960"
"20230328:19";"476"
"20230328:20";"838"
"20230328:21";"106"
"20230328:22";"272"
"20230328:23";"54"
"20230329:00";"200"
"20230329:01";"488"
"20230329:02";"198"
"20230329:03";"525"
"20230329:04";"458"
"20230329:05";"932"
"20230329:06";"693"
"20230329:07";"709"
"20230329:08";"386"
"20230329:09";"234"
"20230329:10";"359"
"20230329:11";"654"
"20230329:12";"81"
"20230329:13";"970"
"20230329:14";"158"
"20230329:15";"273"
"20230329:16";"220"
"20230329:17";"698"
"20230329:18";"348"
"20230329:19";"82"
"20230329:20";"721"
"20230329:21";"670"
"20230329:22";"313"
"20230329:23";"567"
"20230330:00";"843"
"20230330:01";"239"
"20230330:02";"183"
"20230330:03";"3"
"20230330:04";"516"
"20230330:05";"400"
"20230330:06";"663"
"20230330:07";"503"
"20230330:08";"337"
"20230330:09";"641"
"20230330:10";"208"
"20230330:11";"721"
"20230330:12";"708"
"20230330:13";"190"
"20230330:14";"768"
"20230330:15";"762"
"20230330:16";"530"
"20230330:17";"287"
"20230330:18";"643"
"20230330:19";"582"
"20230330:20";"31"
"20230330:21";"278"
"20230330:22";"426"
"20230330:23";"191"
"20230331:00";"309"
"20230331:01";"126"
"20230331:02";"864"
"20230331:03";"861"
"20230331:04";"537"
"20230331:05";"126"
"20230331:06";"531"
"20230331:07";"510"
"20230331:08";"179"
"20230331:09";"523"
"20230331:10";"124"
"20230331:11";"59"
"20230331:12";"408"
"20230331:13";"147"
"20230331:14";"835"
"20230331:15";"201"
"20230331:16";"943"
"20230331:17";"410"
"20230331:18";"575"
"20230331:19";"618"
"20230331:20";"168"
"20230331:21";"180"
"20230331:22";"549"
"20230331:23";"910"
"20230401:00";"113"
"20230401:01";"71"
"20230401:02";"781"
"20230401:03";"56"
"20230401:04";"498"
"20230401:05";"346"
"20230401:06";"623"
"20230401:07";"367"
"20230401:08";"807"
"20230401:09";"616"
"20230401:10";"907"
"20230401:11";"481"
"20230401:12";"118"
"20230401:13";"261"
"20230401:14";"447"
"20230401:15";"295"
"20230401:16";"599"
"20230401:17";"719"
"20230401:18";"912"
"20230401:19";"775"
"20230401:20";"23"
"20230401:21";"214"
"20230401:22";"320"
"20230401:23";"620"
"20230402:00";"195"
"20230402:01";"525"
"20230402:02";"706"
"20230402:03";"592"
"20230402:04";"363"
"20230402:05";"687"
"20230402:06";"651"
"20230402:07";"414"
"20230402:08";"563"
"20230402:09";"885"
"20230402:10";"125"
"20230402:11";"774"
"20230402:12";"852"
"20230402:13";"554"
"20230402:14";"345"
"20230402:15";"882"
"20230402:16";"55"
"20230402:17";"57"
"20230402:18";"825"
"20230402:19";"588"
"20230402:20";"606"
"20230402:21";"928"
"20230402:22";"720"
"20230402:23";"30"
"20230403:00";"35"
"20230403:01";"38"
"20230403:02";"351"
"20230403:03";"83"
"20230403:04";"163"
"20230403:05";"602"
"20230403:06";"66"
"20230403:07";"268"
"20230403:08";"530"
"20230403:09";"153"
"20230403:10";"18"
"20230403:11";"967"
"20230403:12";"476"
"20230403:13";"599"
"20230403:14";"539"
"20230403:15";"19"
"20230403:16";"552"
"20230403:17";"283"
"20230403:18";"769"
"20230403:19";"262"
"20230403:20";"203"
"20230403:21";"458"
"20230403:22";"243"
"20230403:23";"861"
"20230404:00";"551"
"20230404:01";"317"
"20230404:02";"643"
"20230404:03";"484"
"20230404:04";"156"
"20230404:05";"247"
"20230404:06";"527"
"20230404:07";"929"
"20230404:08";"739"
"20230404:09";"269"
"20230404:10";"457"
"20230404:11";"62"
"20230404:12";"740"
"20230404:13";"241"
"20230404:14";"727"
"20230404:15";"95"
"20230404:16";"355"
"20230404:17";"237"
"20230404:18";"523"
"20230404:19";"87"
"20230404:20";"287"
"20230404:21";"251"
"20230404:22";"11"
"20230404:23";"888"
"20230405:00";"607"
"20230405:01";"162"
"20230405:02";"667"
"20230405:03";"928"
"20230405:04";"245"
"20230405:05";"663"
"20230405:06";"620"
"20230405:07";"52"
"20230405:08";"73"
"20230405:09";"871"
"20230405:10";"607"
"20230405:11";"804"
"20230405:12";"495"
"20230405:13";"86"
"20230405:14";"333"
"20230405:15";"4"
"20230405:16";"27"
"20230405:17";"883"
"20230405:18";"689"
"20230405:19";"917"
"20230405:20";"194"
"20230405:21";"716"
"20230405:22";"151"
"20230405:23";"654"
"20230406:00";"420"
"20230406:01";"390"
"20230406:02";"992"
"20230406:03";"360"
"20230406:04";"733"
"20230406:05";"999"
"20230406:06";"356"
"20230406:07";"356"
"20230406:08";"371"
"20230406:09";"145"
"20230406:10";"639"
"20230406:11";"638"
"20230406:12";"516"
"20230406:13";"301"
"20230406:14";"856"
"20230406:15";"591"
"20230406:16";"25"
"20230406:17";"519"
"20230406:18";"887"
"20230406:19";"207"
"20230406:20";"522"
"20230406:21";"726"
"20230406:22";"759"
"20230406:23";"256"
"20230407:00";"322"
"20230407:01";"880"
"20230407:02";"906"
"20230407:03";"873"
"20230407:04";"38"
"20230407:05";"541"
"20230407:06";"783"
"20230407:07";"448"
"20230407:08";"185"
"20230407:09";"182"
"20230407:10";"88"
"20230407:11";"773"
"20230407:12";"400"
"20230407:13";"495"
"20230407:14";"220"
"20230407:15";"60"
"20230407:16";"415"
"20230407:17";"989"
"20230407:18";"96"
"20230407:19";"820"
"20230407:20";"697"
"20230407:21";"959"
"20230407:22";"804"
"20230407:23";"455"
"20230408:00";"489"
"20230408:01";"974"
"20230408:02";"882"
"20230408:03";"675"
"20230408:04";"105"
"20230408:05";"976"
"20230408:06";"590"
"20230408:07";"488"
"20230408:08";"987"
"20230408:09";"481"
"20230408:10";"184"
"20230408:11";"15"
"20230408:12";"311"
"20230408:13";"841"
"20230408:14";"561"
"20230408:15";"790"
"20230408:16";"285"
"20230408:17";"288"
"20230408:18";"952"
"20230408:19";"909"
"20230408:20";"331"
"20230408:21";"249"
"20230408:22";"419"
"20230408:23";"270"
"20230409:00";"910"
"20230409:01";"485"
"20230409:02";"936"
"20230409:03";"322"
"20230409:04";"154"
"20230409:05";"0"
"20230409:06";"676"
"20230409:07";"563"
"20230409:08";"272"
"20230409:09";"729"
"20230409:10";"862"
"20230409:11";"234"
"20230409:12";"267"
"20230409:13";"956"
"20230409:14";"34"
"20230409:15";"977"
"20230409:16";"662"
"20230409:17";"407"
"20230409:18";"383"
"20230409:19";"606"
"20230409:20";"309"
"20230409:21";"275"
"20230409:22";"718"
"20230409:23";"496"
"20230410:00";"305"
"20230410:01";"124"
"20230410:02";"431"
"20230410:03";"678"
"20230410:04";"427"
"20230410:05";"44"
"20230410:06";"357"
"20230410:07";"887"
"20230410:08";"422"
"20230410:09";"472"
"20230410:10";"139"
"20230410:11";"766"
"20230410:12";"768"
"20230410:13";"175"
"20230410:14";"303"
"20230410:15";"608"
"20230410:16";"391"
"20230410:17";"433"
"20230410:18";"787"
"20230410:19";"324"
"20230410:20";"892"
"20230410:21";"360"
"20230410:22";"34"
"20230410:23";"699"
"20230411:00";"730"
"20230411:01";"433"
"20230411:02";"684"
"20230411:03";"11"
"20230411:04";"882"
"20230411:05";"979"
"20230411:06";"806"
"20230411:07";"13"
"20230411:08";"534"
"20230411:09";"53"
"20230411:10";"296"
"20230411:11";"980"
"20230411:12";"179"
"20230411:13";"279"
"20230411:14";"127"
"20230411:15";"426"
"20230411:16";"623"
"20230411:17";"111"
"20230411:18";"48"
"20230411:19";"845"
"20230411:20";"224"
"20230411:21";"845"
"20230411:22";"441"
"20230411:23";"124"
"20230412:00";"727"
"20230412:01";"797"
"20230412:02";"420"
"20230412:03";"963"
"20230412:04";"666"
"20230412:05";"641"
"20230412:06";"977"
"20230412:07";"467"
"20230412:08";"159"
"20230412:09";"32"
"20230412:10";"35"
"20230412:11";"123"
"20230412:12";"348"
"20230412:13";"700"
"20230412:14";"638"
"20230412:15";"629"
"20230412:16";"579"
"20230412:17";"795"
"20230412:18";"559"
"20230412:19";"403"
"20230412:20";"977"
"20230412:21";"603"
"20230412:22";"701"
"20230412:23";"694"
"20230413:00";"554"
"20230413:01";"712"
"20230413:02";"384"
"20230413:03";"400"
"20230413:04";"202"
"20230413:05";"266"
"20230413:06";"371"
"20230413:07";"41"
"20230413:08";"563"
"20230413:09";"344"
"20230413:10";"747"
"20230413:11";"608"
"20230413:12";"14"
"20230413:13";"92"
"20230413:14";"898"
"20230413:15";"521"
"20230413:16";"660"
"20230413:17";"153"
"20230413:18";"356"
"20230413:19";"30"
"20230413:20";"567"
"20230413:21";"141"
"20230413:22";"403"
"20230413:23";"698"
"20230414:00";"875"
"20230414:01";"289"
"20230414:02";"458"
"20230414:03";"182"
"20230414:04";"347"
"20230414:05";"811"
"20230414:06";"829"
"20230414:07";"19"
"20230414:08";"808"
"20230414:09";"759"
"20230414:10";"291"
"20230414:11";"740"
"20230414:12";"223"
"20230414:13";"104"
"20230414:14";"126"
"20230414:15";"81"
"20230414:16";"138"
"20230414:17";"905"
"20230414:18";"230"
"20230414:19";"776"
"20230414:20";"437"
"20230414:21";"572"
"20230414:22";"371"
"20230414:23";"170"
"20230415:00";"817"
"20230415:01";"372"
"20230415:02";"799"
"20230415:03";"857"
"20230415:04";"827"
"20230415:05";"480"
"20230415:06";"734"
"20230415:07";"660"
"20230415:08";"350"
"20230415:09";"129"
"20230415:10";"376"
"20230415:11";"54"
"20230415:12";"197"
"20230415:13";"910"
"20230415:14";"319"
"20230415:15";"168"
"20230415:16";"950"
"20230415:17";"182"
"20230415:18";"234"
"20230415:19";"785"
"20230415:20";"423"
"20230415:21";"834"
"20230415:22";"45"
"20230415:23";"463"
"20230416:00";"640"
"20230416:01";"256"
"20230416:02";"359"
"20230416:03";"744"
"20230416:04";"938"
"20230416:05";"180"
"20230416:06";"698"
"20230416:07";"773"
"20230416:08";"572"
"20230416:09";"595"
"20230416:10";"743"
"20230416:11";"880"
"20230416:12";"810"
"20230416:13";"249"
"20230416:14";"313"
"20230416:15";"690"
"20230416:16";"477"
"20230416:17";"753"
"20230416:18";"173"
"20230416:19";"61"
"20230416:20";"973"
